Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
LNT,Alliant Energy Corp.,Utilities,"56,35","0,03034605146","0,06211180124","0,06298004826","1,617888502","14102,03019","22,22191961","0,6394816215","0,2785256478","61,47","44,7"
LNTH,Lantheus Holdings Inc,Healthcare,"29,04",0,,,0,"1965,734617",N/A,0,"1,086530795","31,6","17,27"
LOAN,Manhattan Bridge Capital Inc,Real Estate,"5,5","0,08599936178","0,1363636364","0,04563955259","0,4729964898","63,222198","14,91554971","1,121110428","0,09041205156","7,73","4,87"
LOB,Live Oak Bancshares Inc,Financial Services,"66,41","0,00180584643",0,"0,0844717712","0,1199262614","2842,196585","17,07681382","0,0320658453","1,849524323","99,86","45,22"
LOCO,El Pollo Loco Holdings Inc,Consumer Cyclical,"13,52",0,,,0,"494,30426","17,40630538",0,"0,7786838349","20,34","12,06"
LODE,Comstock Mining Inc,Real Estate,"1,42",0,,,0,"92,721895",0,N/A,"1,151489032","9,85","1,24"
LONE,Lonestar Resources US Inc,Energy,16,0,,,0,"161,713296",0,N/A,,"20,99","4,01"
LOOP,Loop Industries Inc,Basic Materials,"7,42",0,,,0,"351,619376",0,N/A,"1,518333653","18,2","6,85"
LOPE,Grand Canyon Education Inc,Consumer Defensive,"80,08",0,,,0,"3209,094529","12,24910693",0,"0,6727226527","115,96",70
LORL,Loral Space & Communications Inc,Communication Services,"41,52",0,,,0,0,0,N/A,,,
LOVE,Lovesac Company,Consumer Cyclical,"47,78",0,,,0,"722,580954",0,N/A,"2,614533903","95,51",45
LOW,"Lowe`s Cos., Inc.",Consumer Cyclical,"228,1","0,01402893468","0,3333333333","0,1797891247","2,992469683","153681,7338","18,78520154","0,261123009","0,8979311479","263,31","149,23"
LPCN,Lipocine Inc,Healthcare,"1,16",0,,,0,"102,417154",0,N/A,"1,458670179","2,03","0,8032"
LPG,Dorian LPG Ltd,Energy,"12,54",0,,,0,"503,342508",0,N/A,"0,8962005897","13,6","9,94"
LPI,Laredo Petroleum Inc.,Energy,"74,54",0,,,0,"1272,446251",N/A,0,"2,111657548","99,26","26,51"
LPLA,LPL Financial Holdings Inc,Financial Services,"187,53","0,005319724502",0,0,"0,9976079359","15030,03536","32,43894857","0,1756352","1,355294395","196,29","126,62"
